partition,protocol,model,reference,metric,unit,n,mean,median,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,positive_fraction,negative_fraction,tie_fraction
A,native_grpo,psi_sft,original_grpo_11970,feasible_rate,percentage_points,1000,-14.778125,-12.5,-15.746953125,-13.84359375,-15.778265675823498,-13.81401912583315,0.089,0.785,0.126
A,native_grpo,psi_sft,original_grpo_11970,mean_PDMS,PDMS_points,1000,-13.272231475093427,-10.24503366390973,-14.071339636128265,-12.432749152118097,-14.13656051498653,-12.4074616567718,0.07,0.927,0.003
B,eval,original_grpo_11970,official_il,pairwise_ADE,m,1000,0.025251524506136776,0.025014463812112808,0.02421584507310763,0.026300356970401482,0.024137625523648218,0.026408982488530686,0.945,0.055,0.0
B,eval,original_grpo_11970,official_il,center_shift_m,m,1000,0.49925880499184133,0.4677548259496689,0.4865192881666124,0.511901390254125,0.48464013378312354,0.5144912986524771,1.0,0.0,0.0
B,eval,original_grpo_11970,official_il,feasible_rate,percentage_points,1000,0.66875,0.0,-0.48125,1.7564062500000006,-0.48753840076431715,1.8036776825822352,0.076,0.025,0.899
B,eval,original_grpo_11970,official_il,mean_PDMS,PDMS_points,1000,2.8874359443531885,0.5853993950847212,2.2184219325117156,3.6027108645872405,2.1902275392521418,3.6312827684410576,0.578,0.116,0.306
B,eval,psi_sft,official_il,pairwise_ADE,m,1000,0.16239090124703945,0.1566573679447174,0.15907523539490068,0.1656342610119842,0.15879122349876282,0.16609509341982043,1.0,0.0,0.0
B,eval,psi_sft,official_il,center_shift_m,m,1000,0.4410620844811201,0.40732355415821075,0.42520660973265767,0.4572549637539312,0.42348838286329976,0.4596141479330788,1.0,0.0,0.0
B,eval,psi_sft,official_il,feasible_rate,percentage_points,1000,-2.009375,0.0,-3.000078125,-1.025,-3.0624374374374375,-0.991686848658452,0.047,0.127,0.826
B,eval,psi_sft,official_il,mean_PDMS,PDMS_points,1000,0.48097581920942173,0.2724991670355763,-0.26732070315418743,1.2202017891419652,-0.26284865296517496,1.204743647212724,0.535,0.192,0.273
B,eval,psi_sft,original_grpo_11970,pairwise_ADE,m,1000,0.13713937674090265,0.1306927688419819,0.1339311447072774,0.1403347461072728,0.13375245342641157,0.14066998289059382,1.0,0.0,0.0
B,eval,psi_sft,original_grpo_11970,center_shift_m,m,1000,-0.05819672051072121,-0.07072094082832336,-0.07389924995629116,-0.04279323414079845,-0.07433006410382893,-0.04069593817926743,0.349,0.651,0.0
B,eval,psi_sft,original_grpo_11970,feasible_rate,percentage_points,1000,-2.678125,0.0,-3.865703125,-1.48125,-3.81486175250278,-1.5451077443908756,0.028,0.141,0.831
B,eval,psi_sft,original_grpo_11970,mean_PDMS,PDMS_points,1000,-2.406460125143767,0.0,-3.2208499041107923,-1.5942193653656886,-3.212315113100872,-1.6364706332385006,0.269,0.444,0.287
B,native_grpo,original_grpo_11970,official_il,pairwise_ADE,m,1000,-0.0010506995916366576,0.0018568038940429688,-0.0022692534953355787,0.00011293879449367629,-0.0024335036911150615,0.0002522432471384815,0.55,0.45,0.0
B,native_grpo,original_grpo_11970,official_il,center_shift_m,m,1000,0.49815053497999906,0.46836259961128235,0.4862097622733563,0.5097429124338553,0.4835850389118342,0.5119797152641522,1.0,0.0,0.0
B,native_grpo,original_grpo_11970,official_il,feasible_rate,percentage_points,1000,8.065625,3.125,7.1375,9.0125,7.0472710083874,9.063778516214178,0.6,0.194,0.206
B,native_grpo,original_grpo_11970,official_il,mean_PDMS,PDMS_points,1000,9.931248176397938,6.418068080762595,9.174882417475391,10.689455308683371,9.124124758964193,10.746546365848902,0.858,0.133,0.009
B,native_grpo,psi_sft,official_il,pairwise_ADE,m,1000,0.26332330346107485,0.2614460587501526,0.2591604720070958,0.26742967577427623,0.2589375783826476,0.2677502417485884,1.0,0.0,0.0
B,native_grpo,psi_sft,official_il,center_shift_m,m,1000,0.5081246915459633,0.47721269726753235,0.492772907259129,0.5232409310720861,0.4906164916944729,0.5251673512893397,1.0,0.0,0.0
B,native_grpo,psi_sft,official_il,feasible_rate,percentage_points,1000,-6.525,-6.25,-7.187578125,-5.837421875,-7.232817515504239,-5.794708508403361,0.189,0.632,0.179
B,native_grpo,psi_sft,official_il,mean_PDMS,PDMS_points,1000,-3.49867755571393,-2.777582337735808,-4.059932555094723,-2.9443880631398387,-4.119751457683046,-2.8917038039099126,0.323,0.667,0.01
B,native_grpo,psi_sft,original_grpo_11970,pairwise_ADE,m,1000,0.26437400305271147,0.2648244798183441,0.26035304331928494,0.26840311070382594,0.259975887530649,0.2684766567942662,1.0,0.0,0.0
B,native_grpo,psi_sft,original_grpo_11970,center_shift_m,m,1000,0.009974156565964221,-0.002628639340400696,-0.005128140063956378,0.024712918360531334,-0.007518300294417514,0.027185193227625574,0.495,0.505,0.0
B,native_grpo,psi_sft,original_grpo_11970,feasible_rate,percentage_points,1000,-14.590625,-12.5,-15.521953125,-13.7,-15.51587962285324,-13.654917848183635,0.084,0.782,0.134
B,native_grpo,psi_sft,original_grpo_11970,mean_PDMS,PDMS_points,1000,-13.429925732111867,-10.154509665193125,-14.276819216296989,-12.628781708511559,-14.243203151824156,-12.636698859149329,0.062,0.93,0.008
FULL64,eval,original_grpo_11970,official_il,pairwise_ADE,m,1000,0.02541571196075529,0.02559671085327865,0.024371026813448406,0.026432340355170895,0.024339992080725948,0.026522580827701515,0.951,0.049,0.0
FULL64,eval,original_grpo_11970,official_il,center_shift_m,m,1000,0.49914172854274513,0.4671557694673538,0.48712801036518066,0.5122106711287051,0.4851434807638774,0.5137584542084871,1.0,0.0,0.0
FULL64,eval,original_grpo_11970,official_il,feasible_rate,percentage_points,1000,0.653125,0.0,-0.448515625,1.7235546875000003,-0.5070097902987866,1.8083641554692849,0.079,0.027,0.894
FULL64,eval,original_grpo_11970,official_il,mean_PDMS,PDMS_points,1000,2.8801176752858733,0.6098342936306338,2.1964175068942247,3.574798268696775,2.1853015588946643,3.5667682651331774,0.583,0.117,0.3
FULL64,eval,psi_sft,official_il,pairwise_ADE,m,1000,0.16213846088200806,0.15584927611052996,0.15892815172187985,0.16545337975535077,0.1584839572405866,0.1660167402151295,1.0,0.0,0.0
FULL64,eval,psi_sft,official_il,center_shift_m,m,1000,0.44111512845009565,0.40447084605693817,0.4253569628560916,0.457311034957692,0.4226195963355915,0.46010676739389855,1.0,0.0,0.0
FULL64,eval,psi_sft,official_il,feasible_rate,percentage_points,1000,-2.0796875,0.0,-3.0609765625,-1.1109375,-3.0649299348825334,-1.0850630239151873,0.052,0.141,0.807
FULL64,eval,psi_sft,official_il,mean_PDMS,PDMS_points,1000,0.4247711437677473,0.26969981893622474,-0.2792949748552974,1.1445281093464919,-0.33690195588201083,1.143179590331288,0.54,0.201,0.259
FULL64,eval,psi_sft,original_grpo_11970,pairwise_ADE,m,1000,0.13672274892125277,0.1301816515624523,0.1338279444484506,0.139882546285633,0.13323223818564184,0.1404012493969578,1.0,0.0,0.0
FULL64,eval,psi_sft,original_grpo_11970,center_shift_m,m,1000,-0.05802660009264946,-0.07377052307128906,-0.07355133404834195,-0.04190846514739096,-0.07529389656615787,-0.04033259685398867,0.35,0.65,0.0
FULL64,eval,psi_sft,original_grpo_11970,feasible_rate,percentage_points,1000,-2.7328125,0.0,-3.9408203124999996,-1.584375,-3.846642626360205,-1.5413220100626888,0.031,0.155,0.814
FULL64,eval,psi_sft,original_grpo_11970,mean_PDMS,PDMS_points,1000,-2.455346531518126,0.0,-3.294358273127751,-1.6832810582005002,-3.2277371941750084,-1.6561641447012092,0.271,0.453,0.276
FULL64,native_grpo,original_grpo_11970,official_il,pairwise_ADE,m,1000,-0.00045667418837546194,0.0023701339960101597,-0.0016218226067721755,0.0006773900449276019,-0.001732707335736618,0.0007591240066237353,0.579,0.421,0.0
FULL64,native_grpo,original_grpo_11970,official_il,center_shift_m,m,1000,0.4981897150427103,0.4693101942539215,0.48643972783088685,0.5101017786134034,0.4839970694344132,0.5122219941184852,1.0,0.0,0.0
FULL64,native_grpo,original_grpo_11970,official_il,feasible_rate,percentage_points,1000,7.9625,4.6875,7.0749609375,8.895390625,6.997493220497932,8.960966462690115,0.639,0.221,0.14
FULL64,native_grpo,original_grpo_11970,official_il,mean_PDMS,PDMS_points,1000,9.828784364087479,6.3570685793204476,9.139043220626977,10.578755417249518,9.037133274779698,10.659618468050422,0.88,0.118,0.002
FULL64,native_grpo,psi_sft,official_il,pairwise_ADE,m,1000,0.2632152940630913,0.26275958120822895,0.2596037268191576,0.2665456554502249,0.25907552228729436,0.2673348730806428,1.0,0.0,0.0
FULL64,native_grpo,psi_sft,official_il,center_shift_m,m,1000,0.4998293027728796,0.47271160781383514,0.4851192878896371,0.515044709412381,0.4823205508328549,0.5168697246563446,1.0,0.0,0.0
FULL64,native_grpo,psi_sft,official_il,feasible_rate,percentage_points,1000,-6.721875,-5.46875,-7.3766015625,-6.0265625,-7.413164405726262,-6.054475080247644,0.188,0.695,0.117
FULL64,native_grpo,psi_sft,official_il,mean_PDMS,PDMS_points,1000,-3.522294239515168,-2.720151625328551,-4.054417987280548,-2.9913844110391232,-4.093225288993256,-2.9749628459791575,0.302,0.694,0.004
FULL64,native_grpo,psi_sft,original_grpo_11970,pairwise_ADE,m,1000,0.26367196825146677,0.26372212171554565,0.26046295103654266,0.2669845327399671,0.25993707874175287,0.2674890449285309,1.0,0.0,0.0
FULL64,native_grpo,psi_sft,original_grpo_11970,center_shift_m,m,1000,0.0016395877301692962,-0.016033902764320374,-0.013311711291596294,0.016880636310949923,-0.01428163480128194,0.019859709839312917,0.467,0.533,0.0
FULL64,native_grpo,psi_sft,original_grpo_11970,feasible_rate,percentage_points,1000,-14.684375,-12.5,-15.5766796875,-13.846875,-15.589080116421568,-13.778169861501603,0.074,0.839,0.087
FULL64,native_grpo,psi_sft,original_grpo_11970,mean_PDMS,PDMS_points,1000,-13.351078603602648,-10.073251924031446,-14.099346520773423,-12.592907779538775,-14.123747989945521,-12.564595869775683,0.039,0.959,0.002
